game_id,school,sport,game_dt,season_type,opponent,result,team_points,opp_points,ot,rank,opponent_rank,end_inc_window,attendance
871,michigan state,basketball,2016-01-31 17:15:00,regular,Rutgers,W,96,62,,12,,2016-02-01 03:15:00,
872,michigan state,basketball,2016-02-06 14:00:00,regular,Michigan,W,89,73,,10,,2016-02-07 00:00:00,
873,michigan state,basketball,2016-02-09 19:00:00,regular,Purdue (18),L,81,82,OT,8,18.0,2016-02-10 05:00:00,
874,michigan state,basketball,2016-02-14 13:00:00,regular,Indiana,W,88,69,,8,,2016-02-14 23:00:00,
875,michigan state,basketball,2016-02-18 21:00:00,regular,Wisconsin,W,69,57,,8,,2016-02-19 07:00:00,
876,michigan state,basketball,2016-02-23 21:00:00,regular,Ohio State,W,81,62,,6,,2016-02-24 07:00:00,
877,michigan state,basketball,2016-02-28 12:00:00,regular,Penn State,W,88,57,,6,,2016-02-28 22:00:00,
878,michigan state,basketball,2016-03-02 19:00:00,regular,Rutgers,W,97,66,,2,,2016-03-03 05:00:00,
879,michigan state,basketball,2016-03-05 12:00:00,regular,Ohio State,W,91,76,,2,,2016-03-05 22:00:00,
880,michigan state,basketball,2016-03-11 18:30:00,CTOURN,Ohio State,W,81,54,,2,,2016-03-12 04:30:00,
881,michigan state,basketball,2016-03-12 15:30:00,CTOURN,Maryland (18),W,64,61,,2,18.0,2016-03-13 01:30:00,
882,michigan state,basketball,2016-03-13 15:00:00,CTOURN,Purdue (13),W,66,62,,2,13.0,2016-03-14 01:00:00,
883,michigan state,basketball,2016-03-18 14:45:00,NCAA,Middle Tennessee,L,81,90,,,,2016-03-19 00:45:00,
884,michigan state,basketball,2016-11-11 19:00:00,regular,Arizona (10),L,63,65,,12,10.0,2016-11-12 05:00:00,
885,michigan state,basketball,2016-11-15 19:00:00,regular,Kentucky (2),L,48,69,,13,2.0,2016-11-16 05:00:00,
886,michigan state,basketball,2016-11-18 19:00:00,regular,Mississippi Valley State,W,100,53,,13,,2016-11-19 05:00:00,
887,michigan state,basketball,2016-11-20 19:00:00,regular,Florida Gulf Coast,W,78,77,,13,,2016-11-21 05:00:00,
888,michigan state,basketball,2016-11-23 19:00:00,regular,St. John's (NY),W,73,62,,24,,2016-11-24 05:00:00,
889,michigan state,basketball,2016-11-24 12:00:00,regular,Baylor (20),L,58,73,,24,20.0,2016-11-24 22:00:00,
890,michigan state,basketball,2016-11-25 13:00:00,regular,Wichita State,W,77,72,,24,,2016-11-25 23:00:00,
891,michigan state,basketball,2016-11-29 21:30:00,regular,Duke (5),L,69,78,,-,5.0,2016-11-30 07:30:00,
892,michigan state,basketball,2016-12-03 16:30:00,regular,Oral Roberts,W,80,76,,-,,2016-12-04 02:30:00,
893,michigan state,basketball,2016-12-06 19:00:00,regular,Youngstown State,W,77,57,,-,,2016-12-07 05:00:00,
894,michigan state,basketball,2016-12-10 14:00:00,regular,Tennessee Tech,W,71,63,,-,,2016-12-11 00:00:00,
895,michigan state,basketball,2016-12-18 19:00:00,regular,Northeastern,L,73,81,,-,,2016-12-19 05:00:00,
896,michigan state,basketball,2016-12-21 19:00:00,regular,Oakland,W,77,65,,-,,2016-12-22 05:00:00,
897,michigan state,basketball,2016-12-27 21:00:00,regular,Minnesota,W,75,74,OT,-,,2016-12-28 07:00:00,
898,michigan state,basketball,2016-12-30 18:00:00,regular,Northwestern,W,61,52,,-,,2016-12-31 04:00:00,
899,michigan state,basketball,2017-01-04 18:30:00,regular,Rutgers,W,93,65,,-,,2017-01-05 04:30:00,
900,michigan state,basketball,2017-01-07 13:00:00,regular,Penn State,L,63,72,,-,,2017-01-07 23:00:00,
901,michigan state,basketball,2017-01-11 19:00:00,regular,Minnesota (24),W,65,47,,-,24.0,2017-01-12 05:00:00,
902,michigan state,basketball,2017-01-15 13:30:00,regular,Ohio State,L,67,72,,-,,2017-01-15 23:30:00,
903,michigan state,basketball,2017-01-21 16:00:00,regular,Indiana,L,75,82,,-,,2017-01-22 02:00:00,
904,michigan state,basketball,2017-01-24 19:00:00,regular,Purdue (20),L,73,84,,-,20.0,2017-01-25 05:00:00,
