,school,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,rank,gametime,Game String,US State,start_dt
570,michigan-state,2015-02-26,REG,Minnesota,Big Ten,L,90,96,OT,19,9,L 1,Breslin Events Center,-,7:00p,MINNESOTA,MICH.,2015-02-26 19:00:00
571,michigan-state,2015-03-01,REG,Wisconsin (5),Big Ten,L,61,68,,19,10,L 2,Kohl Center,-,4:00p,WISCONSIN,WIS.,2015-03-01 16:00:00
572,michigan-state,2015-03-04,REG,Purdue,Big Ten,W,72,66,,20,10,W 1,Breslin Events Center,-,8:00p,PURDUE,MICH.,2015-03-04 20:00:00
573,michigan-state,2015-03-07,REG,Indiana,Big Ten,W,74,72,,21,10,W 2,Assembly Hall,-,12:00p,INDIANA,IND.,2015-03-07 12:00:00
574,michigan-state,2015-03-13,CTOURN,Ohio State,Big Ten,W,76,67,,22,10,W 3,United Center,-,9:15p,OHIO STATE,ILL.,2015-03-13 21:00:00
575,michigan-state,2015-03-14,CTOURN,Maryland (8),Big Ten,W,62,58,,23,10,W 4,United Center,-,3:25p,MARYLAND,ILL.,2015-03-14 15:30:00
576,michigan-state,2015-03-15,CTOURN,Wisconsin (6),Big Ten,L,69,80,OT,23,11,L 1,United Center,-,3:30p,WISCONSIN,ILL.,2015-03-15 15:30:00
577,michigan-state,2015-03-20,NCAA,Georgia,SEC,W,70,63,,24,11,W 1,Spectrum Center,,12:40p,GEORGIA,N.C.,2015-03-20 12:40:00
578,michigan-state,2015-03-22,NCAA,Virginia (6),ACC,W,60,54,,25,11,W 2,Spectrum Center,,12:10p,VIRGINIA,N.C.,2015-03-22 12:10:00
579,michigan-state,2015-03-27,NCAA,Oklahoma (13),Big 12,W,62,58,,26,11,W 3,Carrier Dome,,10:16p,OKLAHOMA,N.Y.,2015-03-27 22:07:00
580,michigan-state,2015-03-29,NCAA,Louisville (17),ACC,W,76,70,OT,27,11,W 4,Carrier Dome,,2:20p,LOUISVILLE,N.Y.,2015-03-29 14:20:00
581,michigan-state,2015-04-04,NCAA,Duke (4),ACC,L,61,81,,27,12,L 1,Lucas Oil Stadium,,6:09p,DUKE,IND.,2015-04-04 18:09:00
582,michigan-state,2015-11-13,REG,Florida Atlantic,CUSA,W,82,55,,1,0,W 1,Breslin Events Center,13,7:00p,FLORIDA ATLANTIC,MICH.,2015-11-13 19:00:00
583,michigan-state,2015-11-17,REG,Kansas (4),Big 12,W,79,73,,2,0,W 2,United Center,13,10:00p,KANSAS,ILL.,2015-11-17 22:00:00
584,michigan-state,2015-11-20,REG,Arkansas-Pine Bluff,SWAC,W,92,46,,3,0,W 3,Breslin Events Center,13,7:00p,ARKANSAS-PINE BLUFF,MICH.,2015-11-20 19:00:00
585,michigan-state,2015-11-23,REG,Eastern Michigan,MAC,W,89,65,,4,0,W 4,Breslin Events Center,3,7:00p,EASTERN MICHIGAN,MICH.,2015-11-23 19:00:00
586,michigan-state,2015-11-26,REG,Boston College,ACC,W,99,68,,5,0,W 5,Titan Gym,3,6:30p,BOSTON COLLEGE,CALIF.,2015-11-26 18:30:00
587,michigan-state,2015-11-27,REG,Boise State,MWC,W,77,67,,6,0,W 6,Titan Gym,3,5:30p,BOISE STATE,CALIF.,2015-11-27 17:30:00
588,michigan-state,2015-11-29,REG,Providence,Big East,W,77,64,,7,0,W 7,Honda Center,3,10:00p,PROVIDENCE,CALIF.,2015-11-29 22:00:00
589,michigan-state,2015-12-02,REG,Louisville (24),ACC,W,71,67,,8,0,W 8,Breslin Events Center,3,7:15p,LOUISVILLE,MICH.,2015-12-02 19:15:00
590,michigan-state,2015-12-05,REG,Binghamton,AEC,W,76,33,,9,0,W 9,Breslin Events Center,3,12:00p,BINGHAMTON,MICH.,2015-12-05 12:00:00
591,michigan-state,2015-12-09,REG,Maryland-Eastern Shore,MEAC,W,78,35,,10,0,W 10,Breslin Events Center,1,7:00p,MARYLAND-EASTERN SHORE,MICH.,2015-12-09 19:00:00
592,michigan-state,2015-12-12,REG,Florida,SEC,W,58,52,,11,0,W 11,Breslin Events Center,1,6:00p,FLORIDA,MICH.,2015-12-12 18:00:00
593,michigan-state,2015-12-19,REG,Northeastern,CAA,W,78,58,,12,0,W 12,Matthews Arena,1,12:30p,NORTHEASTERN,MASS.,2015-12-19 12:30:00
594,michigan-state,2015-12-22,REG,Oakland,Horizon,W,99,93,OT,13,0,W 13,Palace of Auburn Hills,1,7:00p,OAKLAND,MICH.,2015-12-22 19:00:00
595,michigan-state,2015-12-29,REG,Iowa,Big Ten,L,70,83,,13,1,L 1,Carver-Hawkeye Arena,1,9:00p,IOWA,IOWA,2015-12-29 21:00:00
596,michigan-state,2016-01-02,REG,Minnesota,Big Ten,W,69,61,,14,1,W 1,Williams Arena,1,3:00p,MINNESOTA,MINN.,2016-01-02 15:00:00
597,michigan-state,2016-01-07,REG,Illinois,Big Ten,W,79,54,,15,1,W 2,Breslin Events Center,5,9:00p,ILLINOIS,MICH.,2016-01-07 21:00:00
598,michigan-state,2016-01-10,REG,Penn State,Big Ten,W,92,65,,16,1,W 3,Bryce Jordan Center,5,12:00p,PENN STATE,PA.,2016-01-10 12:00:00
599,michigan-state,2016-01-14,REG,Iowa (16),Big Ten,L,59,76,,16,2,L 1,Breslin Events Center,4,7:00p,IOWA,MICH.,2016-01-14 19:00:00
600,michigan-state,2016-01-17,REG,Wisconsin,Big Ten,L,76,77,,16,3,L 2,Kohl Center,4,1:30p,WISCONSIN,WIS.,2016-01-17 13:30:00
601,michigan-state,2016-01-20,REG,Nebraska,Big Ten,L,71,72,,16,4,L 3,Breslin Events Center,11,6:30p,NEBRASKA,MICH.,2016-01-20 18:30:00
602,michigan-state,2016-01-23,REG,Maryland (7),Big Ten,W,74,65,,17,4,W 1,Breslin Events Center,11,6:30p,MARYLAND,MICH.,2016-01-23 18:30:00
603,michigan-state,2016-01-28,REG,Northwestern,Big Ten,W,76,45,,18,4,W 2,Welsh-Ryan Arena,12,9:00p,NORTHWESTERN,ILL.,2016-01-28 21:00:00
604,michigan-state,2016-01-31,REG,Rutgers,Big Ten,W,96,62,,19,4,W 3,Breslin Events Center,12,5:15p,RUTGERS,MICH.,2016-01-31 17:15:00
