,index,Unnamed: 0,school,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,rank,gametime,Game String,Start time,US State
149,510,536,michigan-state,2013-11-23,REG,Oklahoma,Big 12,W,87,76,,6,0,W 6,Barclays Center,1,,OKLAHOMA (COACHES VS. CANCER CLASSIC),9:30 PM,N.Y.
150,511,537,michigan-state,2013-11-29,REG,Mount St. Mary's,NEC,W,98,65,,7,0,W 7,Breslin Events Center,1,,MOUNT ST. MARY'S,1:00 PM,MICH.
151,512,538,michigan-state,2013-12-04,REG,North Carolina,ACC,L,65,79,,7,1,L 1,Breslin Events Center,1,,NORTH CAROLINA (BIG TEN-ACC CHALLENGE),9:00 PM,MICH.
152,513,539,michigan-state,2013-12-14,REG,Oakland,Horizon,W,67,63,,8,1,W 1,,5,,OAKLAND,4:00 PM,MICH.
153,514,540,michigan-state,2013-12-17,REG,North Florida,A-Sun,W,78,48,,9,1,W 2,Breslin Events Center,5,,NORTH FLORIDA,7:00 PM,MICH.
154,515,541,michigan-state,2013-12-21,REG,Texas,Big 12,W,92,78,,10,1,W 3,Frank Erwin Center,5,,TEXAS,4:00 PM,TEXAS
155,516,542,michigan-state,2013-12-28,REG,New Orleans,Southland,W,101,48,,11,1,W 4,Breslin Events Center,5,,NEW ORLEANS,4:15 PM,MICH.
156,517,543,michigan-state,2013-12-31,REG,Penn State,Big Ten,W,79,63,,12,1,W 5,Bryce Jordan Center,5,,PENN STATE,5:00 PM,PA.
157,518,544,michigan-state,2014-01-04,REG,Indiana,Big Ten,W,73,56,,13,1,W 6,Assembly Hall,5,,INDIANA,2:00 PM,IND.
158,519,545,michigan-state,2014-01-07,REG,Ohio State (3),Big Ten,W,72,68,OT,14,1,W 7,Breslin Events Center,5,,OHIO STATE,9:00 PM,MICH.
159,520,546,michigan-state,2014-01-11,REG,Minnesota,Big Ten,W,87,75,OT,15,1,W 8,Breslin Events Center,5,,MINNESOTA,2:15 PM,MICH.
160,521,547,michigan-state,2014-01-15,REG,Northwestern,Big Ten,W,54,40,,16,1,W 9,Welsh-Ryan Arena,4,,NORTHWESTERN,7:00 PM,ILL.
161,522,548,michigan-state,2014-01-18,REG,Illinois,Big Ten,W,78,62,,17,1,W 10,Assembly Hall,4,,ILLINOIS,8:00 PM,ILL.
162,523,549,michigan-state,2014-01-21,REG,Indiana,Big Ten,W,71,66,,18,1,W 11,Breslin Events Center,3,,INDIANA,7:00 PM,MICH.
163,524,550,michigan-state,2014-01-25,REG,Michigan (21),Big Ten,L,75,80,,18,2,L 1,Breslin Events Center,3,,MICHIGAN,7:00 PM,MICH.
