,Unnamed: 0,school,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,rank,gametime,Game String,Start time,US State,Attendance
117,122,michigan,2013-01-13,REG,Ohio State (15),Big Ten,L,53,56,,16,1,L 1,Value City Arena,2,,Ohio State on January 13 1:30 PM,1:30 PM,OHIO,18809
118,123,michigan,2013-01-17,REG,Minnesota (9),Big Ten,W,83,75,,17,1,W 1,Williams Arena,5,,Minnesota on January 17 6:00 PM,6:00 PM,MINN.,14625
119,124,michigan,2013-01-24,REG,Purdue,Big Ten,W,68,53,,18,1,W 2,Crisler Arena,2,,Purdue on January 24 7:00 PM,7:00 PM,MICH.,12693
120,125,michigan,2013-01-27,REG,Illinois,Big Ten,W,74,60,,19,1,W 3,Assembly Hall,2,,Illinois on January 27 5:00 PM,5:00 PM,ILL.,16618
121,126,michigan,2013-01-30,REG,Northwestern,Big Ten,W,68,46,,20,1,W 4,Crisler Arena,1,,Northwestern on January 30 6:30 PM,6:30 PM,MICH.,12693
122,127,michigan,2013-02-02,REG,Indiana (3),Big Ten,L,73,81,,20,2,L 1,Assembly Hall,1,,Indiana on February 2 9:00 PM,9:00 PM,IND.,17472
123,128,michigan,2013-02-05,REG,Ohio State (10),Big Ten,W,76,74,OT,21,2,W 1,Crisler Arena,3,,Ohio State on February 5 9:00 PM,9:00 PM,MICH.,12693
124,129,michigan,2013-02-09,REG,Wisconsin,Big Ten,L,62,65,OT,21,3,L 1,Kohl Center,3,,Wisconsin on February 9 11:00 AM,11:00 AM,WIS.,17249
125,130,michigan,2013-02-12,REG,Michigan State (8),Big Ten,L,52,75,,21,4,L 2,Breslin Events Center,4,,Michigan State on February 12 9:00 PM,9:00 PM,MICH.,14797
126,131,michigan,2013-02-17,REG,Penn State,Big Ten,W,79,71,,22,4,W 1,Crisler Arena,4,,Penn State on February 17 12:00 PM,12:00 PM,MICH.,12693
127,132,michigan,2013-02-24,REG,Illinois,Big Ten,W,71,58,,23,4,W 2,Crisler Arena,7,,Illinois on February 24 1:00 PM,1:00 PM,MICH.,12693
128,133,michigan,2013-02-27,REG,Penn State,Big Ten,L,78,84,,23,5,L 1,Bryce Jordan Center,4,,Penn State on February 27 6:30 PM,6:30 PM,PA.,8892
129,134,michigan,2013-03-03,REG,Michigan State (9),Big Ten,W,58,57,,24,5,W 1,Crisler Arena,4,,Michigan State on March 3 4:00 PM,4:00 PM,MICH.,12693
130,135,michigan,2013-03-06,REG,Purdue,Big Ten,W,80,75,,25,5,W 2,Mackey Arena,7,,Purdue on March 6 7:00 PM,7:00 PM,IND.,14201
131,136,michigan,2013-03-10,REG,Indiana (2),Big Ten,L,71,72,,25,6,L 1,Crisler Arena,7,,Indiana on March 10 4:00 PM,4:00 PM,MICH.,12693
132,138,michigan,2013-03-14,CTOURN,Penn State,Big Ten,W,83,66,,26,6,W 1,,6,,Penn State (#12) on March 14 1:30 PM,1:30 PM,ILL.,19470
133,139,michigan,2013-03-15,CTOURN,Wisconsin (22),Big Ten,L,59,68,,26,7,L 1,United Center,6,,Wisconsin (#4) on March 15 1:30 PM,1:30 PM,ILL.,21793
134,141,michigan,2013-03-21,NCAA,South Dakota State,Summit,W,71,56,,27,7,W 1,Palace of Auburn Hills,,,South Dakota State (#13) on March 21 7:15 PM,7:15 PM,MICH.,19829
135,142,michigan,2013-03-23,NCAA,Virginia Commonwealth,A-10,W,78,53,,28,7,W 2,Palace of Auburn Hills,,,VCU (#5) on March 23 12:15 PM,12:15 PM,MICH.,21723
136,143,michigan,2013-03-29,NCAA,Kansas (3),Big 12,W,87,85,OT,29,7,W 3,Cowboy's Stadium,,,Kansas (#1) on March 29 6:37 PM,6:37 PM,TEXAS,40639
137,144,michigan,2013-03-31,NCAA,Florida (14),SEC,W,79,59,,30,7,W 4,Cowboy's Stadium,,,Florida (#3) on March 31 1:20 PM,1:20 PM,TEXAS,36585
138,145,michigan,2013-04-06,NCAA,Syracuse (16),Big East,W,61,56,,31,7,W 5,Georgia Dome,,,Syracuse (#4) on April 6 9:21 PM,9:21 PM,GA.,75350
139,146,michigan,2013-04-08,NCAA,Louisville (2),Big East,L,76,82,,31,8,L 1,Georgia Dome,,,Louisville (#1) on April 8 9:23 PM,9:23 PM,GA.,74326
140,147,michigan,2013-11-08,REG,Massachusetts-Lowell,AEC,W,69,42,,1,0,W 1,Crisler Arena,7,,UMass-Lowell on November 8 7:00 PM,7:00 PM,MICH.,12707
141,148,michigan,2013-11-12,REG,South Carolina State,MEAC,W,93,59,,2,0,W 2,Crisler Arena,7,,South Carolina State on November 12 7:00 PM,7:00 PM,MICH.,12707
142,149,michigan,2013-11-17,REG,Iowa State,Big 12,L,70,77,,2,1,L 1,James H. Hilton Coliseum ,7,,Iowa State on November 17 4:00 PM,4:00 PM,IOWA,14384
143,150,michigan,2013-11-21,REG,Long Beach State,Big West,W,85,61,,3,1,W 1,Roberto Clemente Coliseum,15,,Long Beach State on November 21 6:00 PM,6:00 PM,PUERTO RICO,4952
144,151,michigan,2013-11-22,REG,Florida State,ACC,W,82,80,OT,4,1,W 2,Roberto Clemente Coliseum,15,,Florida State on November 22 6:00 PM,6:00 PM,PUERTO RICO,5835
145,152,michigan,2013-11-24,REG,Charlotte,CUSA,L,61,63,,4,2,L 1,Roberto Clemente Coliseum,15,,Charlotte on November 24 7:30 PM,7:30 PM,PUERTO RICO,7642
146,153,michigan,2013-11-29,REG,Coppin State,MEAC,W,87,45,,5,2,W 1,Crisler Arena,22,,Coppin State on November 29 3:00 PM,3:00 PM,MICH.,12707
147,154,michigan,2013-12-03,REG,Duke (10),ACC,L,69,79,,5,3,L 1,Cameron Indoor Stadium,22,,Duke on December 3 9:20 PM,9:20 PM,N.C.,9314
148,155,michigan,2013-12-07,REG,Houston Baptist,Southland,W,107,53,,6,3,W 1,Crisler Arena,22,,Houston Baptist on December 7 12:00 PM,12:00 PM,MICH.,12579
149,156,michigan,2013-12-14,REG,Arizona (1),Pac-12,L,70,72,,6,4,L 1,Crisler Arena,-,,Arizona on December 14 12:00 PM,12:00 PM,MICH.,12707
150,157,michigan,2013-12-21,REG,Stanford,Pac-12,W,68,65,,7,4,W 1,Barclays Center,-,,Stanford on December 21 8:30 PM,8:30 PM,N.Y.,11039
151,158,michigan,2013-12-28,REG,Holy Cross,Patriot,W,88,66,,8,4,W 2,Crisler Arena,-,,Holy Cross on December 28 6:30 PM,6:30 PM,MICH.,12707
